aIsAgressive, bIsAgressive, score
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
